类型,名称,仙草,毒草,链接,,,,,,,,
科幻,《机破星河》（校对版全本）作者：当年离歌,670,186,http://www.zxcs.me/post/11370,,,,,,,,
玄幻,《大龙挂了》（校对版全本）作者：白雨涵,668,244,http://www.zxcs.me/post/11496,,,,,,,,
都市,《我的1979》（校对版全本）作者：争斤论两花花帽,664,590,http://www.zxcs.me/post/11549,,,,,,,,
科幻,《无限进化》（校对版全本）作者：不冷,660,302,http://www.zxcs.me/post/11013,,,,,,,,
科幻,《我的一天有48小时》（校对版全本+番外）作者：小呆昭,646,90,http://www.zxcs.me/post/12160,,,,,,,,
科幻,《无限之配角的逆袭》（校对版全本）作者：落花独立,622,211,http://www.zxcs.me/post/10707,,,,,,,,
仙侠,《仙路至尊》（校对版全本）作者：睡秋,620,245,http://www.zxcs.me/post/11360,,,,,,,,
游戏,《大盗贼》（校对版全本）作者：泛舟填词,620,200,http://www.zxcs.me/post/11393,,,,,,,,
科幻,《黑暗王者》（校对版全本）作者：古羲,619,539,http://www.zxcs.me/post/11441,,,,,,,,
游戏,《幽暗主宰》（校对版全本）作者：西贝猫,618,63,http://www.zxcs.me/post/10277,,,,,,,,
都市,《重燃》（校对版全本）作者：奥尔良烤鲟鱼堡,617,160,http://www.zxcs.me/post/11825,,,,,,,,
科幻,《重卡战车在末世》（校对版全本）作者：白雨涵,613,176,http://www.zxcs.me/post/10636,,,,,,,,
都市,《在漫威当超级英雄的那些年》（校对版全本）作者：一吨大苹果,609,259,http://www.zxcs.me/post/11521,,,,,,,,
仙侠,《兔子必须死》（校对版全本）作者：一梦黄粱,603,257,http://www.zxcs.me/post/11579,,,,,,,,
玄幻,《我是杀毒软件》（校对版全本）作者：懒鸟,601,180,http://www.zxcs.me/post/11203,,,,,,,,
科幻,《文化入侵异世界》（校对版全本）作者：姐姐的新娘,596,287,http://www.zxcs.me/post/11333,,,,,,,,
科幻,《主神大道》（校对版全本）作者：古月居士,596,204,http://www.zxcs.me/post/11206,,,,,,,,
仙侠,《一品修仙》（校对版全本）作者：不放心油条,594,104,http://www.zxcs.me/post/12128,,,,,,,,
都市,《当医生开了外挂》（校对版全本）作者：手握寸关尺,593,98,http://www.zxcs.me/post/11137,,,,,,,,
科幻,《纪元黎明》（校对版全本）作者：人勿玩人,586,113,http://www.zxcs.me/post/11028,,,,,,,,
都市,《生活系游戏》（校对版全本）作者：吨吨吨吨吨,581,88,http://www.zxcs.me/post/12161,,,,,,,,
都市,《我真的长生不老》（校对版全本）作者：初恋璀璨如夏花,573,271,http://www.zxcs.me/post/11759,,,,,,,,
仙侠,《仙路争锋》（校对版全本）作者：缘分0,572,103,http://www.zxcs.me/post/10319,,,,,,,,
游戏,《战神领主》（校对版全本）作者：木牛流猫,571,105,http://www.zxcs.me/post/10495,,,,,,,,
科幻,《恐怖都市》（校对版全本）作者：猛虎道长,568,175,http://www.zxcs.me/post/10713,,,,,,,,
仙侠,《无限制神话》（校对版全本）作者：废纸桥,566,188,http://www.zxcs.me/post/11095,,,,,,,,
玄幻,《超级神基因》（校对版全本）作者：十二翼黑暗炽天使,558,273,http://www.zxcs.me/post/11444,,,,,,,,
都市,《狂探》（校对版全本）作者：旷海忘湖,551,207,http://www.zxcs.me/post/12038,,,,,,,,
游戏,《超级训练大师》（校对版全本）作者：XX神,549,317,http://www.zxcs.me/post/10575,,,,,,,,
科幻,《玩家凶猛》（校对版全本）作者：黑灯夏火,548,91,http://www.zxcs.me/post/12867,,,,,,,,
游戏,《召唤圣剑》（校对版全本）作者：西贝猫,544,59,http://www.zxcs.me/post/4799,,,,,,,,
游戏,《重生之恶魔猎人》（校对版全本）作者：颓废龙,542,41,http://www.zxcs.me/post/4691,,,,,,,,
仙侠,《洪荒之妖皇逆天》（校对版全本）作者：清风扶醉月,541,209,http://www.zxcs.me/post/11501,,,,,,,,
游戏,《亏成首富从游戏开始》（校对版全本）作者：青衫取醉,533,114,http://www.zxcs.me/post/13008,,,,,,,,
科幻,《纣临》（校对版全本）作者：三天两觉,533,71,http://www.zxcs.me/post/11763,,,,,,,,
科幻,《我的时空穿梭手机》（校对版全本）作者：金色茉莉花,532,230,http://www.zxcs.me/post/11014,,,,,,,,
都市,《大国重工》（校对版全本）作者：齐橙,530,231,http://www.zxcs.me/post/11459,,,,,,,,
都市,《饲养全人类》（校对版全本）作者：三百斤的微笑,526,119,http://www.zxcs.me/post/12180,,,,,,,,
仙侠,《万古仙穹》（校对版全本）作者：观棋,523,192,http://www.zxcs.me/post/10490,,,,,,,,
科幻,《无限冒险指南》（校对版全本）作者：刹那辉煌,519,114,http://www.zxcs.me/post/10806,,,,,,,,
都市,《万族之劫》（校对版全本）作者：老鹰吃小鸡,518,443,http://www.zxcs.me/post/10491,,,,,,,,
仙侠,《九炼归仙》（校对版全本）作者：博耀,510,227,http://www.zxcs.me/post/10931,,,,,,,,
都市,《从1983开始》（校对版全本）作者：睡觉会变白,509,47,http://www.zxcs.me/post/12316,,,,,,,,
玄幻,《召唤梦魇》（校对版全本）作者：滚开,507,129,http://www.zxcs.me/post/11737,,,,,,,,
玄幻,《巫师亚伯》（校对版全本）作者：吃瓜子群众,506,201,http://www.zxcs.me/post/11443,,,,,,,,
玄幻,《异世界的美食家》（校对版全本）作者：李鸿天,505,481,http://www.zxcs.me/post/11168,,,,,,,,
游戏,《英雄联盟之谁与争锋》（校对版全本）作者：乱,505,61,http://www.zxcs.me/post/7816,,,,,,,,
都市,《神藏》（校对版全本）作者：打眼,502,324,http://www.zxcs.me/post/11457,,,,,,,,
科幻,《位面成神之虚空戒》（校对版全本）作者：闭口禅,501,241,http://www.zxcs.me/post/10849,,,,,,,,
都市,《我老婆是大明星》（校对版全本）作者：玉米煮不熟,501,86,http://www.zxcs.me/post/11432,,,,,,,,
游戏,《武林半侠传》（校对版全本）作者：文抄公,500,120,http://www.zxcs.me/post/10348,,,,,,,,
