类型,名称,仙草,毒草,链接,,,,,,,,
仙侠,《仙玉尘缘》（校对版全本）作者：顽木,144,92,http://www.zxcs.me/post/10550,,,,,,,,
游戏,《九星》（校对版全本）作者：果味喵,144,20,http://www.zxcs.me/post/9807,,,,,,,,
科幻,《驱魔人的自我修养》（校对版全本）作者：拥有福气,143,43,http://www.zxcs.me/post/12886,,,,,,,,
科幻,《万界疯人院》（校对版全本）作者：肥瓜,142,72,http://www.zxcs.me/post/12250,,,,,,,,
仙侠,《大隋国师》（校对版全本）作者：一语破春风,142,66,http://www.zxcs.me/post/12576,,,,,,,,
科幻,《我用木雕记录异常》（校对版全本）作者：夜行狗,142,34,http://www.zxcs.me/post/12598,,,,,,,,
游戏,《江湖我独行》（校对版全本）作者：心之弈剑,142,17,http://www.zxcs.me/post/9418,,,,,,,,
都市,《学魔养成系统》（校对版全本）作者：给您添蘑菇啦,141,122,http://www.zxcs.me/post/12214,,,,,,,,
科幻,《我成了血族始祖》（校对版全本）作者：吐泡泡的鲤鱼,141,98,http://www.zxcs.me/post/12530,,,,,,,,
科幻,《我不是真的想惹事啊》（校对版全本）作者：左断手,140,90,http://www.zxcs.me/post/12231,,,,,,,,
仙侠,《劫修传》（校对版全本）作者：真邪,140,40,http://www.zxcs.me/post/9866,,,,,,,,
玄幻,《凶猛道侣也重生了》（校对版全本）作者：雨下的好大,139,122,http://www.zxcs.me/post/12686,,,,,,,,
玄幻,《勤奋努力的我不算开挂》（校对版全本）作者：三阳天,139,62,http://www.zxcs.me/post/11312,,,,,,,,
游戏,《冠军之光》（校对版全本）作者：林海听涛,139,10,http://www.zxcs.me/post/8601,,,,,,,,
仙侠,《火中金莲》（校对版全本）作者：老衲不能吃素,138,90,http://www.zxcs.me/post/10147,,,,,,,,
仙侠,《萌娘西游记》（校对版全本）作者：三十二变,137,117,http://www.zxcs.me/post/10120,,,,,,,,
游戏,《狩魔猎人和他的小屋》（校对版全本）作者：往边,137,72,http://www.zxcs.me/post/11406,,,,,,,,
游戏,《我的要塞》（校对版全本）作者：无聊了,137,72,http://www.zxcs.me/post/10242,,,,,,,,
游戏,《死灵神话》（校对版全本）作者：羽民,137,71,http://www.zxcs.me/post/13048,,,,,,,,
仙侠,《天神主宰》（校对版全本）作者：金玉,137,50,http://www.zxcs.me/post/10507,,,,,,,,
仙侠,《大唐行镖》（校对版全本）作者：金寻者,136,15,http://www.zxcs.me/post/10221,,,,,,,,
科幻,《时空棋局》（校对版全本）作者：竹上猪猪,135,53,http://www.zxcs.me/post/10824,,,,,,,,
玄幻,《龙血武帝》（校对版全本）作者：流水无痕,134,70,http://www.zxcs.me/post/11124,,,,,,,,
科幻,《纪元崛起》（校对版全本）作者：半只青蛙,133,65,http://www.zxcs.me/post/11134,,,,,,,,
科幻,《神纹战记》（校对版全本）作者：雨水,132,130,http://www.zxcs.me/post/10781,,,,,,,,
游戏,《位面穿越之帝王之路》（校对版全本）作者：王不过霸,132,32,http://www.zxcs.me/post/9535,,,,,,,,
科幻,《逆境游戏》（校对版全本）作者：肥狐狸,131,23,http://www.zxcs.me/post/10855,,,,,,,,
玄幻,《菌魔》（校对版全本）作者：兰帝魅晨,130,51,http://www.zxcs.me/post/11127,,,,,,,,
科幻,《真实末日游戏》（校对版全本）作者：捕梦者,129,75,http://www.zxcs.me/post/12173,,,,,,,,
游戏,《无敌黑枪》（校对版全本）作者：边城 浪子,129,13,http://www.zxcs.me/post/9049,,,,,,,,
游戏,《传奇大英雄》（校对版全本）作者：墨乡,127,28,http://www.zxcs.me/post/9678,,,,,,,,
科幻,《电弧中的高级玩家》（校对版全本）作者：大脸猫脸大,126,34,http://www.zxcs.me/post/11246,,,,,,,,
游戏,《DOTA之最强血脉》（校对版全本）作者：老牛十八岁,126,26,http://www.zxcs.me/post/10259,,,,,,,,
仙侠,《道长去哪了》（校对版全本）作者：八宝饭,125,70,http://www.zxcs.me/post/12630,,,,,,,,
仙侠,《巫中仙》（校对版全本）作者：雪满林中,125,62,http://www.zxcs.me/post/11819,,,,,,,,
玄幻,《施法诸天》（校对版全本）作者：海拉斯特黑袍,124,92,http://www.zxcs.me/post/11835,,,,,,,,
都市,《我老婆是女学霸》（校对版全本）作者：太白猫,124,75,http://www.zxcs.me/post/13232,,,,,,,,
仙侠,《大唐乘风录》（校对版全本）作者：金寻者,124,22,http://www.zxcs.me/post/10205,,,,,,,,
仙侠,《召唤大佬》（校对版全本）作者：废纸桥,123,74,http://www.zxcs.me/post/12088,,,,,,,,
都市,《我是勤行第一人》（校对版全本）作者：光暗之心,123,64,http://www.zxcs.me/post/12124,,,,,,,,
都市,《动力之王》（校对版全本）作者：千年静守,122,70,http://www.zxcs.me/post/9122,,,,,,,,
科幻,《银河之舟》（校对版全本）作者：王白,122,39,http://www.zxcs.me/post/10786,,,,,,,,
科幻,《科技图书馆》（校对版全本）作者：孤胆蚂蚁,121,74,http://www.zxcs.me/post/9259,,,,,,,,
游戏,《翡冷翠的时代》（校对版全本）作者：NTR骑士,121,47,http://www.zxcs.me/post/10241,,,,,,,,
仙侠,《仙焰》（校对版全本）作者：有道,120,64,http://www.zxcs.me/post/10494,,,,,,,,
仙侠,《人魔之路》（校对版全本）作者：莫麻公子,119,108,http://www.zxcs.me/post/13079,,,,,,,,
仙侠,《偃者道途》（校对版全本）作者：不问苍生问鬼神,118,89,http://www.zxcs.me/post/11953,,,,,,,,
游戏,《超凡机械城》（校对版全本）作者：盲候,117,55,http://www.zxcs.me/post/12732,,,,,,,,
科幻,《他不喜欢超级英雄》（校对版全本）作者：竞天泽,117,50,http://www.zxcs.me/post/10518,,,,,,,,
游戏,《遗忘国度之秘银王座》（校对版全本）作者：魔法飞蛋,117,10,http://www.zxcs.me/post/4983,,,,,,,,
玄幻,《众圣之门》（校对版全本）作者：虾米XL,116,103,http://www.zxcs.me/post/11818,,,,,,,,
游戏,《网游之神王法则》（校对版全本）作者：凌虚月影,116,95,http://www.zxcs.me/post/11662,,,,,,,,
仙侠,《三界劳改局》（校对版全本）作者：一梦黄粱,116,76,http://www.zxcs.me/post/12246,,,,,,,,
玄幻,《儒雅随和的我不是魔头》（校对版全本）作者：李古丁,115,55,http://www.zxcs.me/post/11887,,,,,,,,
游戏,《重生之焚尽八荒》（校对版全本）作者：一目尽天涯,113,34,http://www.zxcs.me/post/8625,,,,,,,,
科幻,《六迹之梦域空城》（校对版全本）作者：烟雨江南,112,106,http://www.zxcs.me/post/10988,,,,,,,,
科幻,《全球迈入神话时代》（校对版全本）作者：最终永恒,112,72,http://www.zxcs.me/post/13125,,,,,,,,
仙侠,《无界仙皇》（校对版全本）作者：石三,111,73,http://www.zxcs.me/post/10627,,,,,,,,
玄幻,《白龙之凛冬领主》（校对版全本）作者：笑筱笙,111,58,http://www.zxcs.me/post/11876,,,,,,,,
游戏,《虫族帝国》（校对版全本）作者：总督军,111,25,http://www.zxcs.me/post/4943,,,,,,,,
仙侠,《长生大秦》（校对版全本）作者：剑气书香,110,104,http://www.zxcs.me/post/12067,,,,,,,,
玄幻,《北地巫师》（校对版全本）作者：盍簪,110,91,http://www.zxcs.me/post/11981,,,,,,,,
仙侠,《重生逍遥道》（校对版全本）作者：黑弦,110,51,http://www.zxcs.me/post/10229,,,,,,,,
游戏,《超神猎人》（校对版全本）作者：不是浮云,110,29,http://www.zxcs.me/post/8755,,,,,,,,
游戏,《胜者为王》（校对版全本）作者：林海听涛,110,16,http://www.zxcs.me/post/10213,,,,,,,,
游戏,《网游之全民领主》（校对版全本）作者：大汉护卫,109,81,http://www.zxcs.me/post/9293,,,,,,,,
仙侠,《太玄战记》（校对版全本）作者：风御九秋,109,14,http://www.zxcs.me/post/10007,,,,,,,,
科幻,《轮回·半步多》（校对版全本）作者：吴半仙,108,33,http://www.zxcs.me/post/10532,,,,,,,,
游戏,《死亡轮回游戏》（校对版全本）作者：黄金海岸,108,15,http://www.zxcs.me/post/4695,,,,,,,,
游戏,《足球修改器》（校对版全本）作者：乱世狂刀,107,26,http://www.zxcs.me/post/9270,,,,,,,,
科幻,《型月幻想乡的超越者》（校对版全本）作者：朱之月,107,20,http://www.zxcs.me/post/11586,,,,,,,,
仙侠,《太虚化龙篇》（校对版全本）作者：六月观主,104,77,http://www.zxcs.me/post/12283,,,,,,,,
都市,《这世界的土著好凶猛》（校对版全本）作者：真费事,104,42,http://www.zxcs.me/post/12963,,,,,,,,
仙侠,《横刀》（校对版全本）作者：城郭如旧,104,33,http://www.zxcs.me/post/10512,,,,,,,,
科幻,《百万可能》（校对版全本）作者：翩鹊,103,85,http://www.zxcs.me/post/11815,,,,,,,,
仙侠,《风起紫罗峡》（精校版全本）作者：荆柯守,103,22,http://www.zxcs.me/post/9889,,,,,,,,
都市,《非洲酋长》（校对版全本）作者：更俗,102,54,http://www.zxcs.me/post/12351,,,,,,,,
玄幻,《农夫凶猛》（校对版全本）作者：懒鸟,101,58,http://www.zxcs.me/post/11362,,,,,,,,
仙侠,《觅仙道》（校对版全本）作者：幻雨,100,88,http://www.zxcs.me/post/11316,,,,,,,,
科幻,《马林之诗》（校对版全本）作者：半步炼狱,99,92,http://www.zxcs.me/post/13114,,,,,,,,
仙侠,《逼良为妖》（校对版全本）作者：善水,99,28,http://www.zxcs.me/post/10358,,,,,,,,
科幻,《百鬼禁忌》（校对版全本）作者：千钧四两,98,21,http://www.zxcs.me/post/10444,,,,,,,,
玄幻,《造化之主》（校对版全本）作者：大日浴东海,96,46,http://www.zxcs.me/post/11469,,,,,,,,
仙侠,《玄衍神术》（校对版全本）作者：一介白衣,96,44,http://www.zxcs.me/post/10081,,,,,,,,
科幻,《Psychology 思维空洞》（校对版全本）作者：伯百川,96,32,http://www.zxcs.me/post/10577,,,,,,,,
仙侠,《升仙》（校对版全本）作者：姑苏懒人,94,41,http://www.zxcs.me/post/10116,,,,,,,,
都市,《来自未来的神探》（校对版全本）作者：跑盘,93,84,http://www.zxcs.me/post/12890,,,,,,,,
都市,《重写科技格局》（校对版全本）作者：江湖说梦人,92,82,http://www.zxcs.me/post/12689,,,,,,,,
游戏,《网游之我是终极大BOSS》（校对版全本）作者：何道长,92,40,http://www.zxcs.me/post/10047,,,,,,,,
玄幻,《万古大帝》（校对版全本）作者：暮雨神天,91,63,http://www.zxcs.me/post/12191,,,,,,,,
仙侠,《九鼎神皇》（校对版全本）作者：池边人,90,80,http://www.zxcs.me/post/9182,,,,,,,,
游戏,《三国之模拟城市》（校对版全本）作者：懒猫不瘦,90,43,http://www.zxcs.me/post/6210,,,,,,,,
仙侠,《仙碎虚空》（校对版全本）作者：幻雨,90,40,http://www.zxcs.me/post/10758,,,,,,,,
游戏,《数据修炼系统》（校对版全本）作者：独翼客,90,33,http://www.zxcs.me/post/7677,,,,,,,,
游戏,《刀塔死亡学院》（校对版全本）作者：奥丁信使,88,16,http://www.zxcs.me/post/8754,,,,,,,,
游戏,《假装是个boss》（校对版全本）作者：更从心,87,64,http://www.zxcs.me/post/11912,,,,,,,,
都市,《我的妹妹是COSER？》（校对版全本+番外）作者：村长万岁,87,11,http://www.zxcs.me/post/11628,,,,,,,,
玄幻,《神魔书》（校对版全本）作者：血红,86,82,http://www.zxcs.me/post/12998,,,,,,,,
都市,《我有一个大世界》（校对版全本）作者：沉入太平洋,84,75,http://www.zxcs.me/post/12581,,,,,,,,
仙侠,《洪荒之天帝纪年》（校对版全本）作者：击楫中流,84,33,http://www.zxcs.me/post/11997,,,,,,,,
仙侠,《狐闹大唐》（校对版全本）作者：我不是雪芹,83,80,http://www.zxcs.me/post/10323,,,,,,,,
都市,《赏金猎手》（校对版全本）作者：虾写,83,65,http://www.zxcs.me/post/12818,,,,,,,,
都市,《医者无眠》（校对版全本）作者：真熊初墨,81,57,http://www.zxcs.me/post/12592,,,,,,,,
仙侠,《玉虚天尊》（校对版全本）作者：无极书虫,80,70,http://www.zxcs.me/post/12249,,,,,,,,
都市,《洪荒来了》（校对版全本）作者：胜己,80,57,http://www.zxcs.me/post/12695,,,,,,,,
仙侠,《万鬼之祖》（校对版全本）作者：孤独漂流,80,27,http://www.zxcs.me/post/10027,,,,,,,,
游戏,《足球皇帝》（校对版全本）作者：天天不休,80,19,http://www.zxcs.me/post/10102,,,,,,,,
游戏,《神级仙界系统》（校对版全本）作者：柳三刀,78,58,http://www.zxcs.me/post/9294,,,,,,,,
游戏,《网游之游戏始祖》（校对版全本）作者：罪君子,78,34,http://www.zxcs.me/post/9992,,,,,,,,
游戏,《拳坛巨星》（校对版全本）作者：无限循环,77,69,http://www.zxcs.me/post/10579,,,,,,,,
科幻,《诡异世界生存手册》（校对版全本）作者：封南北,77,65,http://www.zxcs.me/post/13221,,,,,,,,
科幻,《夜封门》（校对版全本）作者：黑桃八,77,41,http://www.zxcs.me/post/10657,,,,,,,,
游戏,《在修仙界玩网游》（校对版全本）作者：寻雾者,77,31,http://www.zxcs.me/post/10990,,,,,,,,
仙侠,《极品相师》（校对版全本）作者：萧瑟朗,75,65,http://www.zxcs.me/post/10034,,,,,,,,
仙侠,《元鼎仙尊》（校对版全本）作者：醉浓,74,45,http://www.zxcs.me/post/10174,,,,,,,,
游戏,《足球豪门》（校对版全本）作者：陈爱庭,74,44,http://www.zxcs.me/post/9729,,,,,,,,
科幻,《脑洞》（校对版全本）作者：安之。,74,10,http://www.zxcs.me/post/10513,,,,,,,,
游戏,《网游之绝世无双》（校对版全本）作者：艾萝莉,73,32,http://www.zxcs.me/post/7953,,,,,,,,
科幻,《捞尸人》（校对版全本）作者：陈十三,71,26,http://www.zxcs.me/post/11079,,,,,,,,
游戏,《绿茵教父》（校对版全本）作者：陈爱庭,71,9,http://www.zxcs.me/post/8819,,,,,,,,
游戏,《狂狮少帅》（校对版全本）作者：天天不休,71,4,http://www.zxcs.me/post/6878,,,,,,,,
仙侠,《灭世大磨》（校对版全本）作者：大道之上,70,54,http://www.zxcs.me/post/9177,,,,,,,,
仙侠,《玄门高手在都市》（校对版全本）作者：五志,70,52,http://www.zxcs.me/post/10131,,,,,,,,
都市,《大时代中的小农民》（校对版全本）作者：醛石,70,51,http://www.zxcs.me/post/13014,,,,,,,,
游戏,《火爆巨星》（校对版全本）作者：猪头七,69,67,http://www.zxcs.me/post/10176,,,,,,,,
仙侠,《六迹之梦魇宫》（校对版全本）作者：忘语,68,16,http://www.zxcs.me/post/10815,,,,,,,,
玄幻,《我的帝国战争游戏》（校对版全本）作者：浮梦三贱客,66,42,http://www.zxcs.me/post/12597,,,,,,,,
游戏,《血裔骑士》（校对版全本）作者：悠久风,65,12,http://www.zxcs.me/post/4547,,,,,,,,
游戏,《网游之进化战场》（校对版全本）作者：何家小兵兵,63,42,http://www.zxcs.me/post/11098,,,,,,,,
游戏,《异界最强战斗法师》（校对版全本）作者：木木狂歌,63,41,http://www.zxcs.me/post/7240,,,,,,,,
游戏,《网游之洪荒战纪》（校对版全本）作者：笙箫剑客,62,50,http://www.zxcs.me/post/12262,,,,,,,,
游戏,《英雄联盟之女主播》（校对版全本）作者：可乐中毒,61,56,http://www.zxcs.me/post/6944,,,,,,,,
科幻,《望古神话之星坟》（校对版全本）作者：天使奥斯卡,61,33,http://www.zxcs.me/post/10696,,,,,,,,
游戏,《异界萌灵战姬》（校对版全本）作者：吹晓风,61,13,http://www.zxcs.me/post/4892,,,,,,,,
游戏,《绝对暴力》（校对版全本）作者：边城 浪子,60,31,http://www.zxcs.me/post/7706,,,,,,,,
仙侠,《定心剑》（校对版全本）作者：朱太河,59,23,http://www.zxcs.me/post/10284,,,,,,,,
科幻,《地球纪元》（校对版全本）作者：彩虹之门,59,7,http://www.zxcs.me/post/11390,,,,,,,,
仙侠,《丹武》（校对版全本）作者：寒香寂寞,58,26,http://www.zxcs.me/post/10024,,,,,,,,
游戏,《数据侠客行》（校对版全本）作者：七尺居士,58,17,http://www.zxcs.me/post/8038,,,,,,,,
都市,《重生之激荡年华》（校对版全本）作者：皇家雇佣猫,57,45,http://www.zxcs.me/post/12190,,,,,,,,
游戏,《史上最强内线》（校对版全本）作者：静物JW,57,27,http://www.zxcs.me/post/10373,,,,,,,,
仙侠,《战天魔神》（校对版全本）作者：相鸿鸣,56,39,http://www.zxcs.me/post/9287,,,,,,,,
游戏,《游戏时代》（校对版全本）作者：方白羽,55,14,http://www.zxcs.me/post/6852,,,,,,,,
游戏,《英雄联盟之职业人生》（校对版全本）作者：绿枫叶,54,21,http://www.zxcs.me/post/5519,,,,,,,,
玄幻,《从大佬到武林盟主》（校对版全本）作者：小楼听风云,53,47,http://www.zxcs.me/post/11947,,,,,,,,
科幻,《六迹之星河创世》（校对版全本）作者：狂笑的菠萝糖,52,22,http://www.zxcs.me/post/11468,,,,,,,,
游戏,《重生之冠军教练》（校对版全本）作者：救火匠,51,48,http://www.zxcs.me/post/10210,,,,,,,,
游戏,《网游之万人之上》（校对版全本）作者：妖邪有泪,50,26,http://www.zxcs.me/post/9102,,,,,,,,
仙侠,《少年医仙》（校对版全本）作者：逐没,48,45,http://www.zxcs.me/post/10841,,,,,,,,
游戏,《棋人物语》（校对版全本）作者：不语楼主,48,25,http://www.zxcs.me/post/10206,,,,,,,,
科幻,《时轮》（校对版全本）作者：陌白,48,17,http://www.zxcs.me/post/10515,,,,,,,,
游戏,《传奇经纪人》（校对版全本）作者：巨西城,47,8,http://www.zxcs.me/post/8848,,,,,,,,
游戏,《武侠世界逍遥行》（校对版全本）作者：微笑啊微笑,46,38,http://www.zxcs.me/post/6511,,,,,,,,
仙侠,《相忘师》（校对版全本）作者：金寻者,46,17,http://www.zxcs.me/post/10215,,,,,,,,
科幻,《反正我是超能力者》（校对版全本）作者：吃书妖,44,14,http://www.zxcs.me/post/11587,,,,,,,,
仙侠,《破雲》（校对版全本）作者：九天青雨,43,42,http://www.zxcs.me/post/10390,,,,,,,,
游戏,《崛起于武侠世界》（校对版全本）作者：白云剑客,42,17,http://www.zxcs.me/post/9087,,,,,,,,
都市,《鬼娃的新郎》（校对版全本）作者：东方快鸟,42,10,http://www.zxcs.me/post/11690,,,,,,,,
仙侠,《仙门弃少》（校对版全本）作者：鸿蒙树,41,27,http://www.zxcs.me/post/9995,,,,,,,,
游戏,《调教武侠》（校对版全本）作者：寂寞大师,39,16,http://www.zxcs.me/post/4790,,,,,,,,
游戏,《球王养成器》（校对版全本）作者：皇上万万岁,38,25,http://www.zxcs.me/post/7438,,,,,,,,
游戏,《蜀山飞仙》（校对版全本）作者：九郎,38,16,http://www.zxcs.me/post/8229,,,,,,,,
都市,《超级英雄间谍派》（校对版全本）作者：留心金碧年深,36,17,http://www.zxcs.me/post/11256,,,,,,,,
都市,《我为女儿〇一秒》（校对版全本）作者：吾有八宗罪,35,27,http://www.zxcs.me/post/11401,,,,,,,,
游戏,《全能召唤师》（校对版全本）作者：跳动的硬币,35,26,http://www.zxcs.me/post/7060,,,,,,,,
游戏,《胜券在手》（校对版全本）作者：dleer,35,5,http://www.zxcs.me/post/4652,,,,,,,,
仙侠,《武林画卷》（校对版全本）作者：连朱,34,10,http://www.zxcs.me/post/10197,,,,,,,,
科幻,《一点也不超级的机器人大战》（校对版全本）作者：也闲,34,6,http://www.zxcs.me/post/11634,,,,,,,,
游戏,《最强作死系统》（校对版全本）作者：念破虚空,33,19,http://www.zxcs.me/post/4748,,,,,,,,
游戏,《网游之仙木参天》（校对版全本）作者：第六天音,33,12,http://www.zxcs.me/post/8897,,,,,,,,
仙侠,《我不是大魔头》（校对版全本）作者：东方快鸟,33,11,http://www.zxcs.me/post/11667,,,,,,,,
游戏,《网游之野蛮之王》（校对版全本）作者：懒猪雷,33,9,http://www.zxcs.me/post/8880,,,,,,,,
游戏,《步步为赢》（校对版全本）作者：dleer,32,14,http://www.zxcs.me/post/9629,,,,,,,,
都市,《说好一起做单身狗呢》（校对版全本）作者：吾有八宗罪,32,6,http://www.zxcs.me/post/11877,,,,,,,,
仙侠,《书剑仙》（校对版全本）作者：三七开,31,29,http://www.zxcs.me/post/9910,,,,,,,,
游戏,《网游之剑指江湖》（校对版全本）作者：李殇隐,31,28,http://www.zxcs.me/post/9531,,,,,,,,
仙侠,《大唐凌风传》（校对版全本）作者：纪轻昀,31,18,http://www.zxcs.me/post/9899,,,,,,,,
科幻,《阴阳师秘》（校对版全本）作者：灵异13号,30,20,http://www.zxcs.me/post/11205,,,,,,,,
游戏,《完美中场》（校对版全本）作者：冒青烟,30,14,http://www.zxcs.me/post/4917,,,,,,,,
都市,《我在日本当轻小说大师》（校对版全本+番外）作者：九月墨客,29,15,http://www.zxcs.me/post/11721,,,,,,,,
游戏,《网游之侠义天下》（校对版全本）作者：云东流,29,11,http://www.zxcs.me/post/4930,,,,,,,,
游戏,《国足救世主》（校对版全本）作者：那年那兔,28,22,http://www.zxcs.me/post/8624,,,,,,,,
游戏,《拳头寂寞》（校对版全本）作者：始王,28,15,http://www.zxcs.me/post/4567,,,,,,,,
游戏,《X界》（校对版全本）作者：妖无痕,27,20,http://www.zxcs.me/post/4775,,,,,,,,
游戏,《圣骑士赵大牛》（校对版全本）作者：夜色访者,27,18,http://www.zxcs.me/post/4725,,,,,,,,
游戏,《绿茵骑士》（校对版全本）作者：木子柒7,26,19,http://www.zxcs.me/post/9543,,,,,,,,
玄幻,《猛男战记》（校对版全本）作者：八八三,25,17,http://www.zxcs.me/post/11753,,,,,,,,
游戏,《法师乔安》（校对版全本）作者：程剑心,24,21,http://www.zxcs.me/post/12607,,,,,,,,
仙侠,《玄壶》（校对版全本）作者：鱼楽,23,21,http://www.zxcs.me/post/9895,,,,,,,,
游戏,《棋定今生》（校对版全本）作者：木三,23,5,http://www.zxcs.me/post/4609,,,,,,,,
玄幻,《无敌从长生开始》（校对版全本）作者：混沌果,22,3,http://www.zxcs.me/post/12756,,,,,,,,
仙侠,《超级狂仙》（校对版全本）作者：老萧,19,16,http://www.zxcs.me/post/9990,,,,,,,,
玄幻,《横推从拔刀开始》（校对版全本）作者：许你风华绝代,19,3,http://www.zxcs.me/post/8646,,,,,,,,
仙侠,《千秋不死人》（校对版全本）作者：第九天命,14,9,http://www.zxcs.me/post/10428,,,,,,,,
科幻,《借阴寿2》（校对版全本）作者：五斗米,14,8,http://www.zxcs.me/post/11879,,,,,,,,
游戏,《扬剑天穹》（校对版全本）作者：网络骑士,5,3,http://www.zxcs.me/post/11630,,,,,,,,
游戏,《炎黄神眷》（校对版全本）作者：狂翻的咸鱼2,4,1,http://www.zxcs.me/post/13021都市,《最强妖孽》（校对版全本）作者：厄夜怪客,389,248,http://www.zxcs.me/post/11177,,,,
都市,《我的美女公寓》（校对版全本+番外）作者：船长,475,221,http://www.zxcs.me/post/11175,,,,,,,,
都市,《最佳影星》（校对版全本）作者：白色十三号,374,129,http://www.zxcs.me/post/11173,,,,,,,,
都市,《史上最牛道长》（校对版全本）作者：诸羊黄昏,492,178,http://www.zxcs.me/post/11133,,,,,,,,
都市,《罪恶调查局》（校对版全本）作者：骁骑校,290,129,http://www.zxcs.me/post/11118,,,,,,,,
都市,《农家仙田》（校对版全本）作者：南山隐士,268,245,http://www.zxcs.me/post/11113,,,,,,,,
都市,《我的镀金时代》（校对版全本）作者：黑色的单车,241,175,http://www.zxcs.me/post/11108,,,,,,,,
都市,《我的姐姐是大明星》（校对版全本）作者：卖报小郎君,1099,428,http://www.zxcs.me/post/11105,,,,,,,,
都市,《超级金钱帝国》（校对版全本）作者：七世狂人,365,259,http://www.zxcs.me/post/11102,,,,,,,,
都市,《奶爸的文艺人生》（校对版全本）作者：寒门,935,207,http://www.zxcs.me/post/11100,,,,,,,,
都市,《灵魂导游》（校对版全本）作者：顾大石,218,94,http://www.zxcs.me/post/11091,,,,,,,,
都市,《我的百鬼夜行哪有这么萌》（校对版全本）作者：蝙蝠饭团,25,3,http://www.zxcs.me/post/11359,,,,,,,,
都市,《都市模拟人生》（校对版全本）作者：明渐,401,244,http://www.zxcs.me/post/11067,,,,,,,,
都市,《重生之财源滚滚》（校对版全本）作者：老鹰吃小鸡,957,266,http://www.zxcs.me/post/11035,,,,,,,,
都市,《脑洞大爆炸》（校对版全本）作者：魔性沧月,590,176,http://www.zxcs.me/post/11012,,,,,,,,
都市,《重生日本当厨神》（校对版全本）作者：千回转,656,216,http://www.zxcs.me/post/11005,,,,,,,,
都市,《完美人生》（校对版全本）作者：刀一耕,751,470,http://www.zxcs.me/post/10998,,,,,,,,
都市,《彪悍的人生》（校对版全本）作者：新丰,321,312,http://www.zxcs.me/post/10981,,,,,,,,
都市,《地府重临人间》（校对版全本）作者：连山易子,404,195,http://www.zxcs.me/post/10973,,,,,,,,
都市,《重生之神级学霸》（校对版全本）作者：志鸟村,1079,194,http://www.zxcs.me/post/10956,,,,,,,,
都市,《贼警》（校对版全本）作者：虾写,373,130,http://www.zxcs.me/post/10950,,,,,,,,
都市,《大牧场主》（校对版全本）作者：陶良辰,660,124,http://www.zxcs.me/post/10948,,,,,,,,
都市,《相声大师》（校对版全本）作者：唐四方,412,99,http://www.zxcs.me/post/10939,,,,,,,,
都市,《重生之小玩家》（校对版全本）作者：吹个大气球9,685,188,http://www.zxcs.me/post/10927,,,,,,,,
都市,《超品透视》（校对版全本）作者：李闲鱼,181,63,http://www.zxcs.me/post/10924,,,,,,,,
都市,《天工》（校对版全本）作者：沙包,485,110,http://www.zxcs.me/post/10923,,,,,,,,
都市,《古井观传奇》（校对版全本）作者：困的睡不着,369,114,http://www.zxcs.me/post/10917,,,,,,,,
都市,《超品相师》（校对版全本）作者：九灯和善,706,264,http://www.zxcs.me/post/10916,,,,,,,,
都市,《捡宝王》（校对版全本）作者：全金属弹壳,457,140,http://www.zxcs.me/post/10902,,,,,,,,
都市,《山洼小富农》（校对版全本）作者：醛石,325,105,http://www.zxcs.me/post/10890,,,,,,,,
都市,《不二掌门》（校对版全本）作者：善水,170,76,http://www.zxcs.me/post/10880,,,,,,,,
都市,《我的妹妹是偶像》（校对版全本）作者：赵青杉,510,152,http://www.zxcs.me/post/10867,,,,,,,,
都市,《随身带着女神皇》（校对版全本）作者：火中物,382,215,http://www.zxcs.me/post/10860,,,,,,,,
都市,《重生铸梦》（校对版全本）作者：银色纪念币,275,133,http://www.zxcs.me/post/10853,,,,,,,,
都市,《无间枭雄》（校对版全本）作者：走过青春岁月,135,71,http://www.zxcs.me/post/10827,,,,,,,,
都市,《都市贴心保镖(我的完美娇妻、最强读心保镖)》（校对版全本）作者：口袋,62,22,http://www.zxcs.me/post/10722,,,,,,,,
都市,《我是大玩家》（校对版全本）作者：会说话的肘子,809,82,http://www.zxcs.me/post/10808,,,,,,,,
都市,《极品小农场》（校对版全本）作者：名窑,337,111,http://www.zxcs.me/post/10805,,,,,,,,
都市,《懒神附体》（校对版全本）作者：君不见,352,161,http://www.zxcs.me/post/10782,,,,,,,,
都市,《韩警官》（校对版全本）作者：卓牧闲,408,69,http://www.zxcs.me/post/10778,,,,,,,,
都市,《文艺生活》（校对版全本）作者：薪越,296,69,http://www.zxcs.me/post/10759,,,,,,,,
都市,《草根石布衣》（校对版全本）作者：中秋月明,607,163,http://www.zxcs.me/post/10719,,,,,,,,
都市,《医师1879》（校对版全本）作者：草席,195,81,http://www.zxcs.me/post/10710,,,,,,,,
都市,《前世老婆找上门》（校对版全本）作者：变化无穷,36,18,http://www.zxcs.me/post/11588,,,,,,,,
都市,《完美大明星》（校对版全本）作者：沉入太平洋,295,146,http://www.zxcs.me/post/10692,,,,,,,,
都市,《太受欢迎了怎么办》（校对版全本）作者：给您添蘑菇啦,251,99,http://www.zxcs.me/post/10653,,,,,,,,
都市,《熬鹰航空业》（校对版全本）作者：中克希德,122,103,http://www.zxcs.me/post/10648,,,,,,,,
都市,《超能大明星》（校对版全本）作者：祥光,161,160,http://www.zxcs.me/post/10643,,,,,,,,
